clay_company_id,name,size,type,domain,country,industry,location,description,linkedin_url,annual_revenue,total_funding_amount_range_usd
8586761,CEX.IO,51-200,Public Company,cex.io,United Kingdom,Financial Services,"London, England","CEX.IO simplifies crypto for everyone. From secure trading to staking, we provide tools to help businesses, beginners, and pros succeed in the crypto world.
Page and promotions not for UK users.",https://www.linkedin.com/company/cex-io,75M-200M,
359938,Wall Street Oasis,11-50,Privately Held,wallstreetoasis.com,United States,Financial Services,"Saratoga, California","What Is Wall Street Oasis (WSO)?

Wall Street Oasis (WSO) is the largest online community and career platform for students and professionals pursuing careers in finance, consulting, and related industries. Founded by Patrick Curtis, a former investment banker, WSO combines expert education, mentorship, and a massive peer-driven ecosystem to help people break into elite finance rolesâfrom investment banking and private equity to hedge funds, venture capital, and management consulting.

 The Community

At its core, WSO began as a forumâa place where finance professionals and aspiring candidates could share insights, discuss recruiting tips, and demystify the industry. Over time, itâs grown into a global community of over 900,000 members, including analysts, associates, VPs, partners, and students from top universities worldwide.

The forums cover topics such as:
Interview and recruiting experiences
Resume and networking advice
Compensation data and bonus reports
MBA and graduate program discussions
Lateral transitions and career changes

 WSO Academy

WSO Academy is the platformâs flagship educational programâa structured, high-touch accelerator designed to help students and career changers land top finance offers within months, not years.

It combines:
Live office hours with senior mentors and finance professionals
Bootcamps covering financial modeling, valuation, and technical interview prep
Access to 2,000+ mentors across investment banking, private equity, and hedge funds
Networking and application strategy guidance
Full tuition refund guarantee if students donât land a lucrative offer within a set timeframe

The program is tailored to four key groups:
 Target school students
 Non-target students
 Career changers
 International candidates",https://www.linkedin.com/company/wall-street-oasis,200M-500M,
31532230,Branch International,51-200,Privately Held,branch.co,United States,Financial Services,"San Francisco, California","Branch delivers world-class financial services to the mobile generation. With offices in San Francisco, Lagos, Nairobi, Mumbai and Bangalore, Branch is a for-profit socially conscious company that uses the power of data science to reduce the cost of delivering financial services in emerging markets. We believe that everyone, everywhere deserves fair financial access. The rapid spread of smartphones presents an opportunity for the world's emerging middle class to access banking options and achieve financial flexibility.

Branch's mission-driven team is led by founder and former CEO of Kiva.org. The company presents a rich opportunity for our team members to drive meaningful growth in rapidly evolving and changing markets. Most recently, Branch announced its Series C and has garnered more than $100M in funding with investments from leading Silicon Valley firms.",https://www.linkedin.com/company/branch-co,75M-200M,
27252900,ACAMS,51-200,Privately Held,acams.org,United States,Financial Services,"Washington, District of Columbia","ACAMS is the largest international membership organization for Anti-Financial Crime professionals. We support individuals and organizations who are dedicated to ending financial crime through thought leadership, continuing professional education, and our best-in-class peer network.",https://www.linkedin.com/company/acams,200M-500M,
840094,Global Association of Risk Professionals (GARP),51-200,Non Profit,garp.org,United States,Financial Services,"Jersey City, New Jersey","GARP is a not-for-profit organization and the only globally recognized membership association for risk managers.

With over 279,000 members across more than 195 countries and regions, our mission is to advance the risk profession through education, training and the promotion of best practices globally.",https://www.linkedin.com/company/global-association-of-risk-professionals,75M-200M,
33634024,Bright Money,51-200,Privately Held,brightmoney.co,United States,Financial Services,"San Francisco, California","Bright builds for Life After Debt.

It gives every consumer the path to be debt-free.
It is the Artificial Intelligence Bank for consumers living with high levels of debt.

Bright helps consumers delete all forms of debt (credit card, student loan, auto loan, home loan, and more) using its Ai powered app, and tailored credit products.

It is trusted by over 1 million Americans and growing.

The Founding team has a combined experience of 80 years in Machine Learning, and Big Data systems, with a focus on Banking products. Bright is a team of Product Builders, Data Scientists, Engineers, Service Professionals, and Digital Growth Experts who build the worldâs best Ai technology to help people be debt-free.",https://www.linkedin.com/company/bright-money,75M-200M,12000000.0
18396362,Ontop,51-200,Privately Held,getontop.com,United States,Financial Services,"Remote, Flexible","We are a global payroll platform with built-in financial services for remote workers.

We enable companies to onboard and pay global talent while helping remote workers to receive their payments in US dollars.",https://www.linkedin.com/company/ontopai,75M-200M,9000000.0
41124372,Into City Prep,11-50,Privately Held,intocityprep.com,United Kingdom,Financial Services,"London, England","At Into City Prep, we're more than a platformâwe're a bridge connecting ambitious firms, students, and graduates.

Our mission: foster collaboration and open doors in the finance industry.

Our Unique Approach:
 Empowering Connections: Unite firms seeking talent with eager students/grads, enriching finance as a whole.
 Breaking Barriers: Streamline entry to finance. Our resources and expert guidance empower students and grads.
 Professional Mentorship: Seasoned pros mentor students and grads, nurturing the next finance generation.

Why Choose Us:
 Focus Areas: Explore hedge funds, private equity, asset management, trading, venture capital, investment banking, and wealth management.
 Training Internships: Gain hands-on experience through field placements and 1-1 expert training.
 Guided Success: Navigate CVs, psychometric tests, interviews, and more with personalized guidance.
 Proven Results: Countless transformed careers through Into City Prep's guidance.
 Stay Ahead: Finance evolves; we keep you current.

Ready to realize finance aspirations? Discover more at intocityprep.com or contact us at:

info@intocityprep.com

Your path to finance excellence begins here.

 Secure your spot early for exclusive training internships, personalized mentorship, and job opportunities giving you a head start in your finance career journey.",https://www.linkedin.com/company/intocityprep,5M-10M,
30450977,Zest AI,51-200,Privately Held,zest.ai,United States,Financial Services,"Burbank, California","Zest AI is an AI-powered credit risk management platform helping financial institutions make smarter lending decisions. Zest AIâs solution suite is designed to keep lenders ahead of economic trends, spanning credit underwriting, fraud detection, and agentic AI.

Founded in 2009, Zest AI is a proven partner to banks, credit unions, and specialty lenders, decreasing credit risk and powering growth. Today, Zest AI runs over 1,500 active models and has been named to CNBCâs Worldâs Top FinTech Companies, Fast Companyâs Best Workplaces for Innovators, Forbes Fintech 50, and more.

Headquartered in Los Angeles, California, Zest AI serves financial institutions across the United States.",https://www.linkedin.com/company/zest-ai,75M-200M,250600000.0
18982484,Payfuture,51-200,Privately Held,payfuture.net,United Kingdom,Financial Services,"London, England","Payfuture is a next-generation, innovative payment gateway connector that enables large e-commerce brands to access local payment solutions across emerging markets worldwide. We open the door to regions where 85% of the worldâs population resides.

Through a single API integration, PayFuture allows global online merchants to unlock net new revenue streams by offering customers in traditionally hard-to-reach markets the most popular local payment options, quickly and easily.

As internet usage continues to grow in these regions, so too does the opportunity for e-commerce businesses, both local and international, to scale profitably. PayFuture provides a competitive edge through enhanced customer journeys, higher approval rates, and conversion recovery tools, all designed to increase revenue and improve performance.

By opening up access to these high-potential markets, PayFuture helps ensure long-term growth and profitability for our merchants.",https://www.linkedin.com/company/payfuture,10M-25M,
641078,PYMNTS,51-200,Privately Held,pymnts.com,United States,Financial Services,"Boston, Massachusetts","PYMNTS.com is where the best minds and the best content meet on the web to learn about âWhatâs Nextâ in payments and commerce. Our interactive platform is reinventing the way in which companies in payments share relevant information about the initiatives that shape the future of this dynamic sector and make news. Our data and analytics team includes economists, data scientists and industry analysts who work with companies to measure and quantify the innovation that is at the cutting edge of this new world.",https://www.linkedin.com/company/pymnts-com,25M-75M,
26689540,Bitcoin,51-200,Public Company,cryptomarket.it.com,United States,Financial Services,"Chicago, Illinois","Daily Bitcoin News & Updates

Brought to you by CryptoMarket INC.",https://www.linkedin.com/company/bit-coin,1B-10B,
627957,GoQuant,51-200,Privately Held,goquant.io,United States,Financial Services,"Miami, Florida","GoQuant is a unified digital asset trading infrastructure platform, spanning data, execution, risk, operations, and credit.

Designed to maximize alpha and reduce costs, GoQuant delivers ultra-low latency execution, smart routing, risk analytics, portfolio optimization, OTC automation, and credit discoveryâacross centralized and decentralized markets, all through a self-hosted, privacy-first architecture.",https://www.linkedin.com/company/goquant,25M-75M,7000000.0
24856785,The Chartered Institute for Securities & Investment (The CISI),51-200,Non Profit,cisi.org,United Kingdom,Financial Services,"London, England","The Chartered Institute for Securities & Investment is the leading professional body for securities, investment, wealth and financial planning professionals. The CISI has been dedicated to professionalism since it emerged from the London Stock Exchange in 1992.
We encourage all of our members, and all who strive for the highest professional standards, to stand tall â proud of the values they hold and the work they do each day.

Our primary purpose is to champion lifelong learning and integrity, raising individual standards of knowledge, skills and behaviour globally to enhance public trust and confidence in financial services.

Formed in 1992 by London Stock Exchange practitioners, we now have more than 57,000 members in over 120 countries. In the past year, we set more than 40,000 examinations in 80 countries, covering a range of vocational qualifications.",https://www.linkedin.com/company/chartered-institute-for-securities-&-investment,200M-500M,
15891728,Eltropy,51-200,Privately Held,eltropy.com,United States,Financial Services,"Santa Clara, California","Eltropy empowers 700+ Credit Unions and Community Banks with cutting-edge solutions that ensure their communities have access to the best financial products anytime, anywhere.

Our AI-powered platform offers a comprehensive suite including voice, text messaging, secure chat, video banking, co-browsing, and more to engage your communities.

Whether you're looking to grow members, increase deposits, reduce delinquency, fight fraud, or reimagine your branches, Eltropy has you covered. Proudly rooted in the Community Financial Institution community, weâre here to help you thrive in the AI and digital age.",https://www.linkedin.com/company/eltropy,75M-200M,50000000.0
18204507,FinTech Global,11-50,Privately Held,fintech.global,United Kingdom,Financial Services,"London, England","FinTech Global is the worldâs leading provider of FinTech information services, B2B media products and industry events.

We inform, promote and connect FinTech buyers, sellers, investors and innovators worldwide.

We serve a network of over 300,000 FinTech professionals from market-leading organizations â financial institutions, technology innovators, corporate investors, venture firms and expert advisory firms. We enable them to get the information they need to make better business decisions and to connect and engage with the people and organisations they want to do business with.

Our services and products include:

FINTECH NEWSLETTERS & NEWS WEBSITES
Breaking news, exclusive features and leadership insights.

FINTECH RESEARCH
Industry reports on markets, sectors and technologies; company profiles, buyer guides, solution provider listings and customised research and consulting.

FINTECH DATA & INTELLIGENCE
Superior data, independent insights and powerful analytical tools

FINTECH MARKETING SOLUTIONS
High impact buyer awareness, market promotion and lead generation via unparalleled global distribution channels.

FINTECH EVENTS
Industry-leading conferences, forums and webinars and exclusive invitation-only roundtables and briefings in RegTech, InsurTech, WealthTech, CyberTech, PayTech, AI & ML, Financial Crime, Data, CX",https://www.linkedin.com/company/fintech-global,10M-25M,
40958515,Trexquant Investment LP,51-200,Partnership,trexquant.com,United States,Financial Services,"Stamford, Connecticut","Trexquant is a leading quantitative finance firm specializing in the development of multi-asset portfolios through advanced machine learning methods. The firm continuously enhances its investment and research platform, utilizing a vast array of data variables to create complex trading models and strategies. These models generate trading signals aimed at outperforming market conditions globally.",https://www.linkedin.com/company/trexquant-investment-lp,75M-200M,
37493940,"Arena Investors, LP",51-200,Partnership,arenaco.com,United States,Financial Services,"New York, New York","Arena Investors is an institutional asset manager that provides creative solutions for those seeking capital in special situations.

Arena brings decades of experience, a track record of comfort with complexity, the ability to deliver within time constraints, and the flexibility to engage in transactions that cannot be addressed by banks and other conventional financial institutions.

Arenaâs mandate is global, and also unconstrained in terms of asset class and industry.",https://www.linkedin.com/company/arena-investors-lp,25M-75M,
1232698,ARK Investment Management LLC,51-200,Privately Held,ark-invest.com,United States,Financial Services,"St Petersburg, Florida","ARK Investment Management LLC (ARK Invest) takes a precision lens to thematic investing. We research and invest in technologically enabled innovation that cuts across sectors and changes how the world works, focusing on themes we believe can enhance productivity and create long-term value. Our current themes:
â¢ Autonomous Technology and Robotics
â¢ Artificial Intelligence (AI)
â¢ Blockchain Technology
â¢ Multiomics/Biotech
â¢ Space and Defense
â¢ Energy Storage

We believe innovation is key to growth and ultimately wins out in an equity market. ARK's in-house research team is built to identify secular shifts before they're reflected in the market, drawing on a research ecosystem that leverages multiple internal and external data streams to produce original analysis.

Our research is available on our website, and we invite everyone to join the conversation around thematic investing in innovation. For more information, please visit ark-invest.com",https://www.linkedin.com/company/ark-investment-management,25M-75M,
